Fecha,Actividades de los Hogares como empleadores,Administración pública,Salud y asistencia social
2000-03-01,25793.382975021428,52582.734368388185,48905.8819342813
2000-06-01,25629.14263532822,219741.122147156,50424.7603838468
2000-09-01,27272.220041606302,313678.354632923,59192.9498609272
2000-12-01,28693.98802933343,384530.78885153594,72897.4078209349
2001-03-01,32583.078764478912,351886.42183394555,83652.7070377109
2001-06-01,33937.47312174059,310397.9920937321,98143.8509879623
2001-09-01,36402.20927089679,259392.34599937158,111806.503110266
2001-12-01,38385.35879517088,273408.240072749,122422.938863984
2002-03-01,37288.653938742755,330921.4707573458,122288.970824608
2002-06-01,38619.86109890799,370160.3819136823,131552.487062408
2002-09-01,40846.81680552714,389088.7039959526,147393.749199122
2002-12-01,45235.30303679066,416775.44333299255,168406.792913873
2003-03-01,49084.53401898568,445019.601199744,194621.161979893
2003-06-01,42063.630163162765,468529.2196546546,203475.610511398
2003-09-01,44943.07604122313,476913.71377663803,205676.806858077
2003-12-01,46529.388447010286,494333.46536875895,193139.420650618
2004-03-01,47176.89861535301,500331.5577061727,264004.255062296
2004-06-01,48248.354483846626,513688.8062717645,227836.036380486
2004-09-01,45983.9760277668,511598.9582311482,212100.699015531
2004-12-01,47986.62625733598,525887.6777908002,216150.009541678
2005-03-01,45156.955804143785,556848.0176622389,237432.516354937
2005-06-01,44235.04360471978,548217.9258739382,255214.816163694
2005-09-01,45945.93911073483,558631.3760449889,273044.950512952
2005-12-01,46440.80721437955,576128.6804187674,284353.716968473
2006-03-01,50510.87351521166,590192.8932110087,280110.736682094
2006-06-01,52516.71986825957,601911.5326640442,283405.723122447
2006-09-01,50788.614836050816,614673.4576534606,289951.666229276
2006-12-01,48785.62372144522,670310.1164716182,298958.873966233
2007-03-01,53755.94161569865,660207.9591774087,304284.033186827
2007-06-01,57780.851798865115,675998.1590197835,317220.395578952
2007-09-01,55688.69847057012,721441.0066489918,329348.25157414
2007-12-01,62264.07288364495,726535.8751537608,351908.319660078
2008-03-01,73821.28219273537,796628.6519465338,367946.341061089
2008-06-01,77572.28681580207,894364.825041997,394362.740888724
2008-09-01,75958.37205000797,958437.4306723941,407225.289403092
2008-12-01,83556.19972746099,920907.5312700691,407458.23276908
2009-03-01,98766.85912742766,955758.8633516658,428019.963994342
2009-06-01,101138.36915715007,1064412.0308683116,426528.747272894
2009-09-01,109326.97770553788,1119719.5910389074,444393.050501687
2009-12-01,117855.7800204927,1197580.9178599946,448492.398902035
2010-03-01,123634.76980330152,1169604.7391717664,485161.545710052
2010-06-01,129216.13051342843,1137188.9041693236,484675.376719535
2010-09-01,129493.75197387562,1166797.8729171357,506754.30691937
2010-12-01,134971.55815250333,1227410.7123623719,538726.51372884
2011-03-01,132716.14365181778,1196485.5347003487,536952.517354066
2011-06-01,129045.83563172522,1341978.4465468575,555005.834287488
2011-09-01,127831.8834921997,1330799.2801696341,565748.513859406
2011-12-01,125431.499236754,1384887.9014895426,592407.51092425
2012-03-01,128605.67854766372,1412486.3313612645,604691.053609309
2012-06-01,127833.76385690727,1422471.8674704821,631911.471614488
2012-09-01,128360.84953928748,1457087.590776353,659233.682524576
2012-12-01,130696.2155652036,1539727.5147041585,743146.356696499
2013-03-01,142395.00657551322,1569192.4958537316,715227.754079296
2013-06-01,146728.9594070086,1602214.5199561375,753524.844696902
2013-09-01,148635.10794373773,1647337.841591684,773111.669100159
2013-12-01,152505.9067718802,1673087.7214898758,786039.350672294
2014-03-01,169717.32885340173,1740621.9621564886,730744.16514714
2014-06-01,162460.899049585,1759658.2398450586,881342.23282678
2014-09-01,165741.49434162414,1862772.2528738428,834297.302776168
2014-12-01,164390.35619892261,1890153.0984154642,843911.686854558
2015-03-01,167389.7183507607,1792503.7023781668,844763.124243879
2015-06-01,165844.6163994736,1814171.1643667854,851106.790042916
2015-09-01,166571.01246506517,1830193.7106284346,883759.076883116
2015-12-01,170359.73073593643,1877422.0362994443,878302.911687535
2016-03-01,180641.11571236912,1858991.9993585383,926547.772033765
2016-06-01,186319.12532475468,1901063.5696609947,912650.468084897
2016-09-01,190277.92214469708,1931121.4788029564,901464.28067809
2016-12-01,195846.9774181499,1959660.107555389,907138.249040143
2017-03-01,205765.26904400147,1978568.23584175,928908.761988919
2017-06-01,208739.51954101506,1986121.229643496,956411.71764276
2017-09-01,209387.80908253737,1977319.1800576032,987666.475899803
2017-12-01,207452.1270139137,1998538.5942405397,997670.971469276
2018-03-01,208330.13343798055,2006153.2726739123,1008908.47117121
2018-06-01,207766.94903350723,2005849.8614758207,1021057.18560754
2018-09-01,211331.70110811424,1999934.9144016658,1032739.39253141
2018-12-01,219618.21642035042,2008063.9514485616,1048450.95068965
2019-03-01,234965.258864781,2017813.0746553391,1055135.88053867
2019-06-01,236334.80535758182,1988215.7439733297,1061119.58398035
2019-09-01,228564.5851018763,1986049.654726375,1059270.15024377
2019-12-01,212648.35067569907,2011076.526645176,1062238.38523717
2020-03-01,190022.14346546866,2012076.8118946478,1058294.41518548
2020-06-01,163447.8881296469,1999477.5482703596,1046062.7212043
2020-09-01,148000.55006988405,1978512.2847783994,1052638.79597818
2020-12-01,152232.41833501775,1965174.3550549299,1056827.06763209
2021-03-01,164645.07433476672,1935139.4295455813,1061529.68738215
2021-06-01,175393.20047155768,1939732.1650710404,1078593.77941849
2021-09-01,182846.29212172888,1948417.1912675798,1093205.19365749
2021-12-01,186702.4330718629,1964369.2141156793,1105324.33954177
2022-03-01,196289.18032235652,1965262.1058399677,1114314.29396219
2022-06-01,196281.63758915663,2008398.975162387,1120291.99335992
2022-09-01,195196.74787196517,2041547.303857565,1129490.72479349
2022-12-01,194553.43421649933,2154592.615139246,1152793.98788421
2023-03-01,203337.54114118218,2182586.098807335,1157312.00114678
2023-06-01,202490.77879181504,2184091.52227664,1183599.76094609
2023-09-01,201237.89053581655,2196584.149964094,1191200.50449444
2023-12-01,199585.8763912171,2201073.858253956,1197065.82771963
