Fecha,Actividades financieras y de seguros,Administración pública,Salud y asistencia social
2000-03-01,65603.42717860163,52582.734368388185,48905.8819342813
2000-06-01,83903.04280591753,219741.122147156,50424.7603838468
2000-09-01,90796.98782500859,313678.354632923,59192.9498609272
2000-12-01,111570.77686659322,384530.78885153594,72897.4078209349
2001-03-01,98180.31197091378,351886.42183394555,83652.7070377109
2001-06-01,119195.11877147086,310397.9920937321,98143.8509879623
2001-09-01,126988.96132535003,259392.34599937158,111806.503110266
2001-12-01,142331.28939388628,273408.240072749,122422.938863984
2002-03-01,136776.7106523059,330921.4707573458,122288.970824608
2002-06-01,140106.76411383503,370160.3819136823,131552.487062408
2002-09-01,169265.51812018096,389088.7039959526,147393.749199122
2002-12-01,149760.8277622056,416775.44333299255,168406.792913873
2003-03-01,149447.64920936007,445019.601199744,194621.161979893
2003-06-01,162134.72537576864,468529.2196546546,203475.610511398
2003-09-01,167184.68145327174,476913.71377663803,205676.806858077
2003-12-01,169269.17803125342,494333.46536875895,193139.420650618
2004-03-01,179649.40328042925,500331.5577061727,264004.255062296
2004-06-01,188207.26293504733,513688.8062717645,227836.036380486
2004-09-01,192095.7132949112,511598.9582311482,212100.699015531
2004-12-01,205904.55069950965,525887.6777908002,216150.009541678
2005-03-01,224692.70933329745,556848.0176622389,237432.516354937
2005-06-01,244819.53510413438,548217.9258739382,255214.816163694
2005-09-01,279688.49528838694,558631.3760449889,273044.950512952
2005-12-01,281442.0050547554,576128.6804187674,284353.716968473
2006-03-01,296399.84858274343,590192.8932110087,280110.736682094
2006-06-01,315264.58222705324,601911.5326640442,283405.723122447
2006-09-01,323575.59193310654,614673.4576534606,289951.666229276
2006-12-01,328879.5676796168,670310.1164716182,298958.873966233
2007-03-01,301180.15271572897,660207.9591774087,304284.033186827
2007-06-01,317667.8607549201,675998.1590197835,317220.395578952
2007-09-01,318799.4289833431,721441.0066489918,329348.25157414
2007-12-01,331688.68588412635,726535.8751537608,351908.319660078
2008-03-01,332275.58192883036,796628.6519465338,367946.341061089
2008-06-01,348946.10291988915,894364.825041997,394362.740888724
2008-09-01,370307.0902378813,958437.4306723941,407225.289403092
2008-12-01,383452.27740824694,920907.5312700691,407458.23276908
2009-03-01,409742.21498631453,955758.8633516658,428019.963994342
2009-06-01,428365.3800983679,1064412.0308683116,426528.747272894
2009-09-01,426792.9163944661,1119719.5910389074,444393.050501687
2009-12-01,437550.58673996397,1197580.9178599946,448492.398902035
2010-03-01,451587.40421632613,1169604.7391717664,485161.545710052
2010-06-01,479056.49058929115,1137188.9041693236,484675.376719535
2010-09-01,497292.56272542936,1166797.8729171357,506754.30691937
2010-12-01,526162.438321341,1227410.7123623719,538726.51372884
2011-03-01,532467.1967909222,1196485.5347003487,536952.517354066
2011-06-01,571782.5976554324,1341978.4465468575,555005.834287488
2011-09-01,603013.349447629,1330799.2801696341,565748.513859406
2011-12-01,636697.1368365756,1384887.9014895426,592407.51092425
2012-03-01,676991.1395575057,1412486.3313612645,604691.053609309
2012-06-01,711102.5313420562,1422471.8674704821,631911.471614488
2012-09-01,718662.4670659985,1457087.590776353,659233.682524576
2012-12-01,728131.658556919,1539727.5147041585,743146.356696499
2013-03-01,686491.2715260144,1569192.4958537316,715227.754079296
2013-06-01,702437.0121021761,1602214.5199561375,753524.844696902
2013-09-01,706814.7650578156,1647337.841591684,773111.669100159
2013-12-01,724646.8893197052,1673087.7214898758,786039.350672294
2014-03-01,777363.659266089,1740621.9621564886,730744.16514714
2014-06-01,809798.1414903265,1759658.2398450586,881342.23282678
2014-09-01,822875.1721758376,1862772.2528738428,834297.302776168
2014-12-01,855592.5124430559,1890153.0984154642,843911.686854558
2015-03-01,822540.245958181,1792503.7023781668,844763.124243879
2015-06-01,831508.2165124201,1814171.1643667854,851106.790042916
2015-09-01,825003.025084144,1830193.7106284346,883759.076883116
2015-12-01,815306.0435619275,1877422.0362994443,878302.911687535
2016-03-01,774637.7953168381,1858991.9993585383,926547.772033765
2016-06-01,820243.4946531971,1901063.5696609947,912650.468084897
2016-09-01,842237.2580121651,1931121.4788029564,901464.28067809
2016-12-01,892388.8249707631,1959660.107555389,907138.249040143
2017-03-01,898206.3514660061,1978568.23584175,928908.761988919
2017-06-01,1001235.3879364214,1986121.229643496,956411.71764276
2017-09-01,953846.1828670977,1977319.1800576032,987666.475899803
2017-12-01,986845.5535028542,1998538.5942405397,997670.971469276
2018-03-01,956234.0302351407,2006153.2726739123,1008908.47117121
2018-06-01,988956.3439891792,2005849.8614758207,1021057.18560754
2018-09-01,1020561.5289889722,1999934.9144016658,1032739.39253141
2018-12-01,1051322.0967865295,2008063.9514485616,1048450.95068965
2019-03-01,1016426.3093194785,2017813.0746553391,1055135.88053867
2019-06-01,1045758.7980884188,1988215.7439733297,1061119.58398035
2019-09-01,1060136.4379028166,1986049.654726375,1059270.15024377
2019-12-01,1045587.4546890082,2011076.526645176,1062238.38523717
2020-03-01,1001486.194120016,2012076.8118946478,1058294.41518548
2020-06-01,971908.6216594838,1999477.5482703596,1046062.7212043
2020-09-01,965672.3866836367,1978512.2847783994,1052638.79597818
2020-12-01,1031185.79753723,1965174.3550549299,1056827.06763209
2021-03-01,992269.2185573727,1935139.4295455813,1061529.68738215
2021-06-01,1067794.9980163425,1939732.1650710404,1078593.77941849
2021-09-01,1082172.8394605205,1948417.1912675798,1093205.19365749
2021-12-01,1086162.9439660013,1964369.2141156793,1105324.33954177
2022-03-01,1208094.478429675,1965262.1058399677,1114314.29396219
2022-06-01,1246815.2482005358,2008398.975162387,1120291.99335992
2022-09-01,1284192.942372799,2041547.303857565,1129490.72479349
2022-12-01,1306143.3309969902,2154592.615139246,1152793.98788421
2023-03-01,1273720.257772863,2182586.098807335,1157312.00114678
2023-06-01,1301219.715559721,2184091.52227664,1183599.76094609
2023-09-01,1334074.9526257515,2196584.149964094,1191200.50449444
2023-12-01,1277744.7901142836,2201073.858253956,1197065.82771963
