Fecha,Actividades inmobiliarias,Administración pública,Salud y asistencia social
2000-03-01,122412.605778927,52582.734368388185,48905.8819342813
2000-06-01,129520.27912507,219741.122147156,50424.7603838468
2000-09-01,138708.678644529,313678.354632923,59192.9498609272
2000-12-01,144244.789323288,384530.78885153594,72897.4078209349
2001-03-01,171101.143118758,351886.42183394555,83652.7070377109
2001-06-01,183249.449061081,310397.9920937321,98143.8509879623
2001-09-01,193990.516687694,259392.34599937158,111806.503110266
2001-12-01,208267.045112505,273408.240072749,122422.938863984
2002-03-01,282537.756337644,330921.4707573458,122288.970824608
2002-06-01,313273.629092402,370160.3819136823,131552.487062408
2002-09-01,347598.363677565,389088.7039959526,147393.749199122
2002-12-01,364612.252949583,416775.44333299255,168406.792913873
2003-03-01,424665.253322986,445019.601199744,194621.161979893
2003-06-01,454508.552255675,468529.2196546546,203475.610511398
2003-09-01,490128.136018725,476913.71377663803,205676.806858077
2003-12-01,525027.37943472,494333.46536875895,193139.420650618
2004-03-01,567350.39028281,500331.5577061727,264004.255062296
2004-06-01,606026.855653368,513688.8062717645,227836.036380486
2004-09-01,630779.876333952,511598.9582311482,212100.699015531
2004-12-01,641285.533231568,525887.6777908002,216150.009541678
2005-03-01,646230.000357568,556848.0176622389,237432.516354937
2005-06-01,663763.522717426,548217.9258739382,255214.816163694
2005-09-01,677615.537669251,558631.3760449889,273044.950512952
2005-12-01,687093.090544307,576128.6804187674,284353.716968473
2006-03-01,687112.853685465,590192.8932110087,280110.736682094
2006-06-01,705341.724142406,601911.5326640442,283405.723122447
2006-09-01,718873.569153567,614673.4576534606,289951.666229276
2006-12-01,729064.70450847,670310.1164716182,298958.873966233
2007-03-01,738630.555522522,660207.9591774087,304284.033186827
2007-06-01,758032.202323284,675998.1590197835,317220.395578952
2007-09-01,780859.158807511,721441.0066489918,329348.25157414
2007-12-01,779924.607286459,726535.8751537608,351908.319660078
2008-03-01,795191.082341488,796628.6519465338,367946.341061089
2008-06-01,812781.167790256,894364.825041997,394362.740888724
2008-09-01,833859.02007334,958437.4306723941,407225.289403092
2008-12-01,855621.466312001,920907.5312700691,407458.23276908
2009-03-01,867764.382868351,955758.8633516658,428019.963994342
2009-06-01,885551.807093579,1064412.0308683116,426528.747272894
2009-09-01,909438.772728479,1119719.5910389074,444393.050501687
2009-12-01,935263.090717214,1197580.9178599946,448492.398902035
2010-03-01,954127.816542297,1169604.7391717664,485161.545710052
2010-06-01,980906.914121862,1137188.9041693236,484675.376719535
2010-09-01,1006596.76954638,1166797.8729171357,506754.30691937
2010-12-01,1021607.30760889,1227410.7123623719,538726.51372884
2011-03-01,1027206.48180543,1196485.5347003487,536952.517354066
2011-06-01,1046993.33680713,1341978.4465468575,555005.834287488
2011-09-01,1070750.29898822,1330799.2801696341,565748.513859406
2011-12-01,1087710.81393395,1384887.9014895426,592407.51092425
2012-03-01,1126844.1114373,1412486.3313612645,604691.053609309
2012-06-01,1149078.41952704,1422471.8674704821,631911.471614488
2012-09-01,1167963.95408018,1457087.590776353,659233.682524576
2012-12-01,1199201.23425765,1539727.5147041585,743146.356696499
2013-03-01,1218765.73114846,1569192.4958537316,715227.754079296
2013-06-01,1244128.96591713,1602214.5199561375,753524.844696902
2013-09-01,1272336.57797864,1647337.841591684,773111.669100159
2013-12-01,1297176.65423263,1673087.7214898758,786039.350672294
2014-03-01,1316155.09273999,1740621.9621564886,730744.16514714
2014-06-01,1332727.56349315,1759658.2398450586,881342.23282678
2014-09-01,1383096.13486278,1862772.2528738428,834297.302776168
2014-12-01,1417112.47194869,1890153.0984154642,843911.686854558
2015-03-01,1451840.68014075,1792503.7023781668,844763.124243879
2015-06-01,1562605.22063169,1814171.1643667854,851106.790042916
2015-09-01,1579529.63412726,1830193.7106284346,883759.076883116
2015-12-01,1689132.66341075,1877422.0362994443,878302.911687535
2016-03-01,1659664.70681658,1858991.9993585383,926547.772033765
2016-06-01,1693300.59929668,1901063.5696609947,912650.468084897
2016-09-01,1697120.6721195,1931121.4788029564,901464.28067809
2016-12-01,1720841.66455491,1959660.107555389,907138.249040143
2017-03-01,1817638.07965322,1978568.23584175,928908.761988919
2017-06-01,1873512.0049755,1986121.229643496,956411.71764276
2017-09-01,1895178.94061562,1977319.1800576032,987666.475899803
2017-12-01,1789512.78375558,1998538.5942405397,997670.971469276
2018-03-01,1814438.75386959,2006153.2726739123,1008908.47117121
2018-06-01,1869327.72299835,2005849.8614758207,1021057.18560754
2018-09-01,1871062.99374457,1999934.9144016658,1032739.39253141
2018-12-01,1761905.52938974,2008063.9514485616,1048450.95068965
2019-03-01,1848707.8777898,2017813.0746553391,1055135.88053867
2019-06-01,1835207.28215729,1988215.7439733297,1061119.58398035
2019-09-01,1859255.25248456,1986049.654726375,1059270.15024377
2019-12-01,1840817.58756824,2011076.526645176,1062238.38523717
2020-03-01,2300765.13403501,2012076.8118946478,1058294.41518548
2020-06-01,1319227.51601526,1999477.5482703596,1046062.7212043
2020-09-01,1739635.81670428,1978512.2847783994,1052638.79597818
2020-12-01,1916997.53324586,1965174.3550549299,1056827.06763209
2021-03-01,1748277.85321108,1935139.4295455813,1061529.68738215
2021-06-01,1696945.75464647,1939732.1650710404,1078593.77941849
2021-09-01,1811343.64221387,1948417.1912675798,1093205.19365749
2021-12-01,1848156.74993079,1964369.2141156793,1105324.33954177
2022-03-01,1799825.51924276,1965262.1058399677,1114314.29396219
2022-06-01,1868486.05003876,2008398.975162387,1120291.99335992
2022-09-01,1906587.55041991,2041547.303857565,1129490.72479349
2022-12-01,1894725.88029975,2154592.615139246,1152793.98788421
2023-03-01,1951657.11236937,2182586.098807335,1157312.00114678
2023-06-01,1990537.76079286,2184091.52227664,1183599.76094609
2023-09-01,1897739.76655003,2196584.149964094,1191200.50449444
2023-12-01,1900053.64788302,2201073.858253956,1197065.82771963
