Fecha,Alojamiento y comidas,Administración pública,Salud y asistencia social
2000-03-01,27433.0163024869,52582.734368388185,48905.8819342813
2000-06-01,35156.7849801534,219741.122147156,50424.7603838468
2000-09-01,43024.1598163861,313678.354632923,59192.9498609272
2000-12-01,51332.0749246032,384530.78885153594,72897.4078209349
2001-03-01,66933.2723513452,351886.42183394555,83652.7070377109
2001-06-01,72651.3713851958,310397.9920937321,98143.8509879623
2001-09-01,77800.744200782,259392.34599937158,111806.503110266
2001-12-01,81990.464025877,273408.240072749,122422.938863984
2002-03-01,87498.2487008299,330921.4707573458,122288.970824608
2002-06-01,93217.7360335671,370160.3819136823,131552.487062408
2002-09-01,96687.9423526601,389088.7039959526,147393.749199122
2002-12-01,97893.5003864465,416775.44333299255,168406.792913873
2003-03-01,99875.6410489713,445019.601199744,194621.161979893
2003-06-01,101718.339326266,468529.2196546546,203475.610511398
2003-09-01,102213.291850347,476913.71377663803,205676.806858077
2003-12-01,100389.595019223,494333.46536875895,193139.420650618
2004-03-01,107314.103325064,500331.5577061727,264004.255062296
2004-06-01,106085.19937989,513688.8062717645,227836.036380486
2004-09-01,106806.580116148,511598.9582311482,212100.699015531
2004-12-01,109902.554809059,525887.6777908002,216150.009541678
2005-03-01,110070.273850556,556848.0176622389,237432.516354937
2005-06-01,112890.025885491,548217.9258739382,255214.816163694
2005-09-01,117089.655709325,558631.3760449889,273044.950512952
2005-12-01,119165.77373934,576128.6804187674,284353.716968473
2006-03-01,120147.244486801,590192.8932110087,280110.736682094
2006-06-01,122806.207928182,601911.5326640442,283405.723122447
2006-09-01,125852.126359008,614673.4576534606,289951.666229276
2006-12-01,128128.444418782,670310.1164716182,298958.873966233
2007-03-01,129998.575651088,660207.9591774087,304284.033186827
2007-06-01,132296.683137522,675998.1590197835,317220.395578952
2007-09-01,134204.25267801,721441.0066489918,329348.25157414
2007-12-01,138582.118643839,726535.8751537608,351908.319660078
2008-03-01,134993.761091295,796628.6519465338,367946.341061089
2008-06-01,140806.499662413,894364.825041997,394362.740888724
2008-09-01,150187.592456869,958437.4306723941,407225.289403092
2008-12-01,159846.960291478,920907.5312700691,407458.23276908
2009-03-01,174179.735445237,955758.8633516658,428019.963994342
2009-06-01,181180.366730474,1064412.0308683116,426528.747272894
2009-09-01,185473.560015869,1119719.5910389074,444393.050501687
2009-12-01,190509.314192087,1197580.9178599946,448492.398902035
2010-03-01,195941.710274704,1169604.7391717664,485161.545710052
2010-06-01,199086.716513836,1137188.9041693236,484675.376719535
2010-09-01,203089.853813828,1166797.8729171357,506754.30691937
2010-12-01,213607.679598843,1227410.7123623719,538726.51372884
2011-03-01,204774.042774237,1196485.5347003487,536952.517354066
2011-06-01,216505.153903478,1341978.4465468575,555005.834287488
2011-09-01,225573.547360478,1330799.2801696341,565748.513859406
2011-12-01,236215.063126525,1384887.9014895426,592407.51092425
2012-03-01,241883.408673965,1412486.3313612645,604691.053609309
2012-06-01,251150.302014728,1422471.8674704821,631911.471614488
2012-09-01,256277.015638062,1457087.590776353,659233.682524576
2012-12-01,259800.132874815,1539727.5147041585,743146.356696499
2013-03-01,273784.271695975,1569192.4958537316,715227.754079296
2013-06-01,281405.87705556,1602214.5199561375,753524.844696902
2013-09-01,296171.396362022,1647337.841591684,773111.669100159
2013-12-01,309649.777227538,1673087.7214898758,786039.350672294
2014-03-01,320749.708306655,1740621.9621564886,730744.16514714
2014-06-01,312048.241948957,1759658.2398450586,881342.23282678
2014-09-01,315656.864246619,1862772.2528738428,834297.302776168
2014-12-01,321821.011711475,1890153.0984154642,843911.686854558
2015-03-01,319342.059766777,1792503.7023781668,844763.124243879
2015-06-01,330102.503357792,1814171.1643667854,851106.790042916
2015-09-01,320772.650952662,1830193.7106284346,883759.076883116
2015-12-01,317693.265519901,1877422.0362994443,878302.911687535
2016-03-01,324830.034323964,1858991.9993585383,926547.772033765
2016-06-01,322197.948328095,1901063.5696609947,912650.468084897
2016-09-01,329697.485508827,1931121.4788029564,901464.28067809
2016-12-01,335917.795741444,1959660.107555389,907138.249040143
2017-03-01,336587.406147297,1978568.23584175,928908.761988919
2017-06-01,346862.183491199,1986121.229643496,956411.71764276
2017-09-01,346986.611663185,1977319.1800576032,987666.475899803
2017-12-01,345290.784168833,1998538.5942405397,997670.971469276
2018-03-01,358279.726206716,2006153.2726739123,1008908.47117121
2018-06-01,367616.029018516,2005849.8614758207,1021057.18560754
2018-09-01,361399.187092622,1999934.9144016658,1032739.39253141
2018-12-01,343331.057682041,2008063.9514485616,1048450.95068965
2019-03-01,355897.920951593,2017813.0746553391,1055135.88053867
2019-06-01,371456.465524436,1988215.7439733297,1061119.58398035
2019-09-01,385096.807571217,1986049.654726375,1059270.15024377
2019-12-01,408199.805953094,2011076.526645176,1062238.38523717
2020-03-01,381821.925062331,2012076.8118946478,1058294.41518548
2020-06-01,163163.780166914,1999477.5482703596,1046062.7212043
2020-09-01,259471.426473817,1978512.2847783994,1052638.79597818
2020-12-01,323854.868296961,1965174.3550549299,1056827.06763209
2021-03-01,318435.734243069,1935139.4295455813,1061529.68738215
2021-06-01,327480.279220295,1939732.1650710404,1078593.77941849
2021-09-01,353026.55938606,1948417.1912675798,1093205.19365749
2021-12-01,380458.427150334,1964369.2141156793,1105324.33954177
2022-03-01,341844.470498355,1965262.1058399677,1114314.29396219
2022-06-01,375154.87039167,2008398.975162387,1120291.99335992
2022-09-01,369472.117402766,2041547.303857565,1129490.72479349
2022-12-01,360073.541707417,2154592.615139246,1152793.98788421
2023-03-01,369608.732775501,2182586.098807335,1157312.00114678
2023-06-01,376863.921253267,2184091.52227664,1183599.76094609
2023-09-01,371365.328145335,2196584.149964094,1191200.50449444
2023-12-01,364971.765146311,2201073.858253956,1197065.82771963
