Fecha,Comercio,Administración pública,Salud y asistencia social
2000-03-01,597859.046076936,52582.734368388185,48905.8819342813
2000-06-01,654456.981353046,219741.122147156,50424.7603838468
2000-09-01,721966.596051165,313678.354632923,59192.9498609272
2000-12-01,736874.324411751,384530.78885153594,72897.4078209349
2001-03-01,885445.664093058,351886.42183394555,83652.7070377109
2001-06-01,888402.867304486,310397.9920937321,98143.8509879623
2001-09-01,893275.745072797,259392.34599937158,111806.503110266
2001-12-01,922498.52730909,273408.240072749,122422.938863984
2002-03-01,908748.671166192,330921.4707573458,122288.970824608
2002-06-01,936588.94608543,370160.3819136823,131552.487062408
2002-09-01,936974.666817642,389088.7039959526,147393.749199122
2002-12-01,937459.170780129,416775.44333299255,168406.792913873
2003-03-01,989891.177726323,445019.601199744,194621.161979893
2003-06-01,974342.881482328,468529.2196546546,203475.610511398
2003-09-01,985226.130783043,476913.71377663803,205676.806858077
2003-12-01,1002537.52485339,494333.46536875895,193139.420650618
2004-03-01,992314.889803207,500331.5577061727,264004.255062296
2004-06-01,1022889.74686178,513688.8062717645,227836.036380486
2004-09-01,1050948.46786972,511598.9582311482,212100.699015531
2004-12-01,1077894.30385557,525887.6777908002,216150.009541678
2005-03-01,1132936.45075062,556848.0176622389,237432.516354937
2005-06-01,1157745.0396688,548217.9258739382,255214.816163694
2005-09-01,1158950.34285078,558631.3760449889,273044.950512952
2005-12-01,1212753.84500886,576128.6804187674,284353.716968473
2006-03-01,1230857.56148665,590192.8932110087,280110.736682094
2006-06-01,1256640.72489596,601911.5326640442,283405.723122447
2006-09-01,1282933.90980349,614673.4576534606,289951.666229276
2006-12-01,1280103.05948736,670310.1164716182,298958.873966233
2007-03-01,1280289.25406183,660207.9591774087,304284.033186827
2007-06-01,1285025.31190279,675998.1590197835,317220.395578952
2007-09-01,1341404.7002612,721441.0066489918,329348.25157414
2007-12-01,1454865.79985063,726535.8751537608,351908.319660078
2008-03-01,1596562.76929815,796628.6519465338,367946.341061089
2008-06-01,1735431.59830658,894364.825041997,394362.740888724
2008-09-01,1860970.1360877,958437.4306723941,407225.289403092
2008-12-01,1809749.87926985,920907.5312700691,407458.23276908
2009-03-01,1736936.52242592,955758.8633516658,428019.963994342
2009-06-01,1719153.32144023,1064412.0308683116,426528.747272894
2009-09-01,1754868.8524073,1119719.5910389074,444393.050501687
2009-12-01,1817929.49310483,1197580.9178599946,448492.398902035
2010-03-01,1902760.21706964,1169604.7391717664,485161.545710052
2010-06-01,1981970.94897333,1137188.9041693236,484675.376719535
2010-09-01,2062002.93462684,1166797.8729171357,506754.30691937
2010-12-01,2147666.00500744,1227410.7123623719,538726.51372884
2011-03-01,2287481.78789581,1196485.5347003487,536952.517354066
2011-06-01,2396170.91381831,1341978.4465468575,555005.834287488
2011-09-01,2481103.87686503,1330799.2801696341,565748.513859406
2011-12-01,2576756.83039233,1384887.9014895426,592407.51092425
2012-03-01,2644103.60926943,1412486.3313612645,604691.053609309
2012-06-01,2704586.77605574,1422471.8674704821,631911.471614488
2012-09-01,2748632.3190509,1457087.590776353,659233.682524576
2012-12-01,2795993.5532103,1539727.5147041585,743146.356696499
2013-03-01,2989784.31102882,1569192.4958537316,715227.754079296
2013-06-01,3055742.69137796,1602214.5199561375,753524.844696902
2013-09-01,3163439.86258296,1647337.841591684,773111.669100159
2013-12-01,3244629.24024108,1673087.7214898758,786039.350672294
2014-03-01,3308610.28015737,1740621.9621564886,730744.16514714
2014-06-01,3385186.72060426,1759658.2398450586,881342.23282678
2014-09-01,3499508.4612524398,1862772.2528738428,834297.302776168
2014-12-01,3462708.05426137,1890153.0984154642,843911.686854558
2015-03-01,3482807.12237775,1792503.7023781668,844763.124243879
2015-06-01,3438336.90146446,1814171.1643667854,851106.790042916
2015-09-01,3410041.44633507,1830193.7106284346,883759.076883116
2015-12-01,3397826.13976945,1877422.0362994443,878302.911687535
2016-03-01,3210087.51385941,1858991.9993585383,926547.772033765
2016-06-01,3337168.37997339,1901063.5696609947,912650.468084897
2016-09-01,3381448.38844166,1931121.4788029564,901464.28067809
2016-12-01,3497470.14653736,1959660.107555389,907138.249040143
2017-03-01,3577847.76991498,1978568.23584175,928908.761988919
2017-06-01,3631273.9227297,1986121.229643496,956411.71764276
2017-09-01,3597984.45300522,1977319.1800576032,987666.475899803
2017-12-01,3596814.37265091,1998538.5942405397,997670.971469276
2018-03-01,3951708.15097439,2006153.2726739123,1008908.47117121
2018-06-01,3854142.68502616,2005849.8614758207,1021057.18560754
2018-09-01,3743401.05204833,1999934.9144016658,1032739.39253141
2018-12-01,3699622.11195118,2008063.9514485616,1048450.95068965
2019-03-01,3739000.62601891,2017813.0746553391,1055135.88053867
2019-06-01,3829329.11642775,1988215.7439733297,1061119.58398035
2019-09-01,3872594.01958366,1986049.654726375,1059270.15024377
2019-12-01,3835762.23797133,2011076.526645176,1062238.38523717
2020-03-01,3753050.64932627,2012076.8118946478,1058294.41518548
2020-06-01,2993465.37632095,1999477.5482703596,1046062.7212043
2020-09-01,3299283.41296723,1978512.2847783994,1052638.79597818
2020-12-01,3556615.56138763,1965174.3550549299,1056827.06763209
2021-03-01,3654158.10869176,1935139.4295455813,1061529.68738215
2021-06-01,3990411.90910445,1939732.1650710404,1078593.77941849
2021-09-01,4169258.3586398,1948417.1912675798,1093205.19365749
2021-12-01,4400528.62356284,1964369.2141156793,1105324.33954177
2022-03-01,4651384.18324262,1965262.1058399677,1114314.29396219
2022-06-01,4591801.95574894,2008398.975162387,1120291.99335992
2022-09-01,4958755.3996511,2041547.303857565,1129490.72479349
2022-12-01,4696958.46135735,2154592.615139246,1152793.98788421
2023-03-01,4905219.14908927,2182586.098807335,1157312.00114678
2023-06-01,4863496.613216,2184091.52227664,1183599.76094609
2023-09-01,4693909.12674598,2196584.149964094,1191200.50449444
2023-12-01,4619885.34824319,2201073.858253956,1197065.82771963
