Fecha,Enseñanza,Administración pública,Salud y asistencia social
2000-03-01,49467.4767193298,52582.734368388185,48905.8819342813
2000-06-01,72558.8738341037,219741.122147156,50424.7603838468
2000-09-01,92547.0361802207,313678.354632923,59192.9498609272
2000-12-01,109397.613266351,384530.78885153594,72897.4078209349
2001-03-01,138261.269121252,351886.42183394555,83652.7070377109
2001-06-01,164758.759167977,310397.9920937321,98143.8509879623
2001-09-01,193909.873050063,259392.34599937158,111806.503110266
2001-12-01,220389.098660709,273408.240072749,122422.938863984
2002-03-01,231552.299921963,330921.4707573458,122288.970824608
2002-06-01,240734.641591819,370160.3819136823,131552.487062408
2002-09-01,255531.064363533,389088.7039959526,147393.749199122
2002-12-01,267707.994122696,416775.44333299255,168406.792913873
2003-03-01,298451.817541981,445019.601199744,194621.161979893
2003-06-01,335310.466490084,468529.2196546546,203475.610511398
2003-09-01,362705.716435001,476913.71377663803,205676.806858077
2003-12-01,393100.999532894,494333.46536875895,193139.420650618
2004-03-01,400139.724907757,500331.5577061727,264004.255062296
2004-06-01,443350.793850977,513688.8062717645,227836.036380486
2004-09-01,452456.403342216,511598.9582311482,212100.699015531
2004-12-01,464785.077898969,525887.6777908002,216150.009541678
2005-03-01,481260.388485962,556848.0176622389,237432.516354937
2005-06-01,494947.980940343,548217.9258739382,255214.816163694
2005-09-01,525660.73021186,558631.3760449889,273044.950512952
2005-12-01,547434.90036184,576128.6804187674,284353.716968473
2006-03-01,554284.175504523,590192.8932110087,280110.736682094
2006-06-01,570849.699283212,601911.5326640442,283405.723122447
2006-09-01,612278.782433109,614673.4576534606,289951.666229276
2006-12-01,635191.342779039,670310.1164716182,298958.873966233
2007-03-01,662197.203633102,660207.9591774087,304284.033186827
2007-06-01,695851.37930731,675998.1590197835,317220.395578952
2007-09-01,648240.114348237,721441.0066489918,329348.25157414
2007-12-01,623077.302711365,726535.8751537608,351908.319660078
2008-03-01,711561.123507585,796628.6519465338,367946.341061089
2008-06-01,747288.22216486,894364.825041997,394362.740888724
2008-09-01,795244.896453223,958437.4306723941,407225.289403092
2008-12-01,877967.229887065,920907.5312700691,407458.23276908
2009-03-01,869466.805493621,955758.8633516658,428019.963994342
2009-06-01,826103.726323014,1064412.0308683116,426528.747272894
2009-09-01,856132.726588781,1119719.5910389074,444393.050501687
2009-12-01,847154.320983564,1197580.9178599946,448492.398902035
2010-03-01,871020.510457032,1169604.7391717664,485161.545710052
2010-06-01,919382.931675673,1137188.9041693236,484675.376719535
2010-09-01,937232.864236446,1166797.8729171357,506754.30691937
2010-12-01,946571.722758699,1227410.7123623719,538726.51372884
2011-03-01,915273.126743876,1196485.5347003487,536952.517354066
2011-06-01,911328.444553305,1341978.4465468575,555005.834287488
2011-09-01,907912.2957576,1330799.2801696341,565748.513859406
2011-12-01,936827.966742009,1384887.9014895426,592407.51092425
2012-03-01,1000507.32016997,1412486.3313612645,604691.053609309
2012-06-01,1028822.36998689,1422471.8674704821,631911.471614488
2012-09-01,1084767.72558004,1457087.590776353,659233.682524576
2012-12-01,1084986.97797457,1539727.5147041585,743146.356696499
2013-03-01,1084721.27971672,1569192.4958537316,715227.754079296
2013-06-01,1088303.02595107,1602214.5199561375,753524.844696902
2013-09-01,1094232.8412531,1647337.841591684,773111.669100159
2013-12-01,1098170.41990338,1673087.7214898758,786039.350672294
2014-03-01,1065947.0877697,1740621.9621564886,730744.16514714
2014-06-01,1097493.0815577,1759658.2398450586,881342.23282678
2014-09-01,1093535.28272391,1862772.2528738428,834297.302776168
2014-12-01,1154054.72727691,1890153.0984154642,843911.686854558
2015-03-01,1200799.70612264,1792503.7023781668,844763.124243879
2015-06-01,1207508.45748608,1814171.1643667854,851106.790042916
2015-09-01,1223253.2555092,1830193.7106284346,883759.076883116
2015-12-01,1221625.72141539,1877422.0362994443,878302.911687535
2016-03-01,1209222.90811514,1858991.9993585383,926547.772033765
2016-06-01,1233429.32486519,1901063.5696609947,912650.468084897
2016-09-01,1238184.46956669,1931121.4788029564,901464.28067809
2016-12-01,1251459.67580061,1959660.107555389,907138.249040143
2017-03-01,1275186.07225535,1978568.23584175,928908.761988919
2017-06-01,1289411.8767225,1986121.229643496,956411.71764276
2017-09-01,1307077.72227805,1977319.1800576032,987666.475899803
2017-12-01,1306896.94933097,1998538.5942405397,997670.971469276
2018-03-01,1324907.43987705,2006153.2726739123,1008908.47117121
2018-06-01,1338378.61179613,2005849.8614758207,1021057.18560754
2018-09-01,1349169.86736689,1999934.9144016658,1032739.39253141
2018-12-01,1358633.0809596,2008063.9514485616,1048450.95068965
2019-03-01,1354582.66448459,2017813.0746553391,1055135.88053867
2019-06-01,1371544.84987358,1988215.7439733297,1061119.58398035
2019-09-01,1358141.01898687,1986049.654726375,1059270.15024377
2019-12-01,1365856.46665484,2011076.526645176,1062238.38523717
2020-03-01,1335040.41666524,2012076.8118946478,1058294.41518548
2020-06-01,1271488.33936352,1999477.5482703596,1046062.7212043
2020-09-01,1231089.93149691,1978512.2847783994,1052638.79597818
2020-12-01,1213174.31247448,1965174.3550549299,1056827.06763209
2021-03-01,1253241.45062882,1935139.4295455813,1061529.68738215
2021-06-01,1280121.11137994,1939732.1650710404,1078593.77941849
2021-09-01,1304449.13359883,1948417.1912675798,1093205.19365749
2021-12-01,1297608.30439191,1964369.2141156793,1105324.33954177
2022-03-01,1301570.92357271,1965262.1058399677,1114314.29396219
2022-06-01,1303731.32803305,2008398.975162387,1120291.99335992
2022-09-01,1324434.0417157,2041547.303857565,1129490.72479349
2022-12-01,1337157.70667836,2154592.615139246,1152793.98788421
2023-03-01,1350609.42825766,2182586.098807335,1157312.00114678
2023-06-01,1368649.99855015,2184091.52227664,1183599.76094609
2023-09-01,1384171.61511526,2196584.149964094,1191200.50449444
2023-12-01,1395862.58887772,2201073.858253956,1197065.82771963
