Fecha,Manufactura de productos no alimenticios,Administración pública,Salud y asistencia social
2000-03-01,498837.45579298906,52582.734368388185,48905.8819342813
2000-06-01,538404.4210213511,219741.122147156,50424.7603838468
2000-09-01,575327.3448508305,313678.354632923,59192.9498609272
2000-12-01,595213.5689034357,384530.78885153594,72897.4078209349
2001-03-01,624386.1698703397,351886.42183394555,83652.7070377109
2001-06-01,646208.198071539,310397.9920937321,98143.8509879623
2001-09-01,659326.3845262629,259392.34599937158,111806.503110266
2001-12-01,657045.5664723675,273408.240072749,122422.938863984
2002-03-01,666723.1079595499,330921.4707573458,122288.970824608
2002-06-01,676550.2778141167,370160.3819136823,131552.487062408
2002-09-01,685938.5671480757,389088.7039959526,147393.749199122
2002-12-01,705660.6749060096,416775.44333299255,168406.792913873
2003-03-01,693667.032134793,445019.601199744,194621.161979893
2003-06-01,690831.2889897721,468529.2196546546,203475.610511398
2003-09-01,692110.5795558693,476913.71377663803,205676.806858077
2003-12-01,701365.9944416935,494333.46536875895,193139.420650618
2004-03-01,708220.7524578151,500331.5577061727,264004.255062296
2004-06-01,729646.7589362543,513688.8062717645,227836.036380486
2004-09-01,753349.7209675037,511598.9582311482,212100.699015531
2004-12-01,781907.180553012,525887.6777908002,216150.009541678
2005-03-01,791387.6573922439,556848.0176622389,237432.516354937
2005-06-01,808855.0836222655,548217.9258739382,255214.816163694
2005-09-01,835595.5928047354,558631.3760449889,273044.950512952
2005-12-01,853819.9413874699,576128.6804187674,284353.716968473
2006-03-01,879377.5132646317,590192.8932110087,280110.736682094
2006-06-01,906059.5629635461,601911.5326640442,283405.723122447
2006-09-01,927018.4031421466,614673.4576534606,289951.666229276
2006-12-01,937840.5424060039,670310.1164716182,298958.873966233
2007-03-01,909721.4348975238,660207.9591774087,304284.033186827
2007-06-01,937691.5541214908,675998.1590197835,317220.395578952
2007-09-01,962458.2757631191,721441.0066489918,329348.25157414
2007-12-01,992339.7238512442,726535.8751537608,351908.319660078
2008-03-01,1011441.5436698862,796628.6519465338,367946.341061089
2008-06-01,1076734.6108935806,894364.825041997,394362.740888724
2008-09-01,1124304.00296528,958437.4306723941,407225.289403092
2008-12-01,1137693.137804305,920907.5312700691,407458.23276908
2009-03-01,1152234.998917656,955758.8633516658,428019.963994342
2009-06-01,1139058.770141037,1064412.0308683116,426528.747272894
2009-09-01,1155244.0089733847,1119719.5910389074,444393.050501687
2009-12-01,1170166.0101825981,1197580.9178599946,448492.398902035
2010-03-01,1193011.4824636646,1169604.7391717664,485161.545710052
2010-06-01,1243115.4569429685,1137188.9041693236,484675.376719535
2010-09-01,1274829.2285628375,1166797.8729171357,506754.30691937
2010-12-01,1326893.921501861,1227410.7123623719,538726.51372884
2011-03-01,1297639.7891626982,1196485.5347003487,536952.517354066
2011-06-01,1313809.0086356322,1341978.4465468575,555005.834287488
2011-09-01,1356320.8967010276,1330799.2801696341,565748.513859406
2011-12-01,1379248.6110731158,1384887.9014895426,592407.51092425
2012-03-01,1450765.9548989523,1412486.3313612645,604691.053609309
2012-06-01,1480373.9086197917,1422471.8674704821,631911.471614488
2012-09-01,1508849.043625123,1457087.590776353,659233.682524576
2012-12-01,1538620.0344438774,1539727.5147041585,743146.356696499
2013-03-01,1566357.2334748013,1569192.4958537316,715227.754079296
2013-06-01,1587069.4851070223,1602214.5199561375,753524.844696902
2013-09-01,1640583.1603564494,1647337.841591684,773111.669100159
2013-12-01,1692025.695049704,1673087.7214898758,786039.350672294
2014-03-01,1834611.4978963742,1740621.9621564886,730744.16514714
2014-06-01,1838684.8285626513,1759658.2398450586,881342.23282678
2014-09-01,1913152.2608923526,1862772.2528738428,834297.302776168
2014-12-01,1937599.4494502097,1890153.0984154642,843911.686854558
2015-03-01,1957944.3678184014,1792503.7023781668,844763.124243879
2015-06-01,1953744.7782951426,1814171.1643667854,851106.790042916
2015-09-01,1871731.3284585394,1830193.7106284346,883759.076883116
2015-12-01,1800481.3989792764,1877422.0362994443,878302.911687535
2016-03-01,1741673.5532717502,1858991.9993585383,926547.772033765
2016-06-01,1809912.4768270876,1901063.5696609947,912650.468084897
2016-09-01,1765381.0920486308,1931121.4788029564,901464.28067809
2016-12-01,1802327.3882908202,1959660.107555389,907138.249040143
2017-03-01,1790012.8464828476,1978568.23584175,928908.761988919
2017-06-01,1756244.5519299207,1986121.229643496,956411.71764276
2017-09-01,1731209.029180385,1977319.1800576032,987666.475899803
2017-12-01,1751104.6440985864,1998538.5942405397,997670.971469276
2018-03-01,1776401.6370876567,2006153.2726739123,1008908.47117121
2018-06-01,1788166.7337063367,2005849.8614758207,1021057.18560754
2018-09-01,1746910.8644442754,1999934.9144016658,1032739.39253141
2018-12-01,1711870.764761512,2008063.9514485616,1048450.95068965
2019-03-01,1724451.425307014,2017813.0746553391,1055135.88053867
2019-06-01,1713137.831479412,1988215.7439733297,1061119.58398035
2019-09-01,1641901.8572751174,1986049.654726375,1059270.15024377
2019-12-01,1633725.8859381594,2011076.526645176,1062238.38523717
2020-03-01,1540976.0242682113,2012076.8118946478,1058294.41518548
2020-06-01,1066996.1825378924,1999477.5482703596,1046062.7212043
2020-09-01,1499649.8152049247,1978512.2847783994,1052638.79597818
2020-12-01,1596881.9779893283,1965174.3550549299,1056827.06763209
2021-03-01,1567737.6167738817,1935139.4295455813,1061529.68738215
2021-06-01,1585547.3225952317,1939732.1650710404,1078593.77941849
2021-09-01,1617705.0873795634,1948417.1912675798,1093205.19365749
2021-12-01,1686932.973251667,1964369.2141156793,1105324.33954177
2022-03-01,1646789.0752807793,1965262.1058399677,1114314.29396219
2022-06-01,1600113.941282404,2008398.975162387,1120291.99335992
2022-09-01,1669857.633259618,2041547.303857565,1129490.72479349
2022-12-01,1578262.350176477,2154592.615139246,1152793.98788421
2023-03-01,1637561.945156439,2182586.098807335,1157312.00114678
2023-06-01,1657778.3695631535,2184091.52227664,1183599.76094609
2023-09-01,1528731.5158338451,2196584.149964094,1191200.50449444
2023-12-01,1463997.9429644234,2201073.858253956,1197065.82771963
